"Rk","Player","Nation","Pos","Squad","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Market_Value_Euro","Year"
1,"Patrick van Aanholt","nl NED","DF","Crystal Palace",28,1990,29,29,2507,27.9,3,2,5,2,1,1,0,0,2.1,1.3,3.7,5.1,60,143,89,0.11,0.07,0.18,0.07,0.14,0.08,0.13,0.21,0.05,0.18,7e+06,2020
3,"Tammy Abraham","eng ENG","FW","Chelsea",21,1997,34,25,2215,24.6,15,3,18,15,0,0,2,0,16.4,16.4,2.7,19,31,34,134,0.61,0.12,0.73,0.61,0.73,0.67,0.11,0.77,0.67,0.77,3.8e+07,2020
5,"Adrián","es ESP","GK","Liverpool",32,1987,11,9,875,9.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,2020
6,"Sergio Agüero","ar ARG","FW","Manchester City",31,1988,24,18,1452,16.1,16,3,19,14,2,3,1,0,14.5,12.1,2.3,14.4,35,34,105,0.99,0.19,1.18,0.87,1.05,0.9,0.14,1.04,0.75,0.89,1.8e+07,2020
8,"Nathan Aké","nl NED","DF","Bournemouth",24,1995,29,29,2503,27.8,2,2,4,2,0,0,2,0,3,3,2.2,5.1,12,81,7,0.07,0.07,0.14,0.07,0.14,0.11,0.08,0.18,0.11,0.18,3.2e+07,2020
9,"Marc Albrighton","eng ENG","MF,DF","Leicester City",29,1989,20,9,867,9.6,0,3,3,0,0,0,2,0,0.4,0.4,2.2,2.6,20,45,94,0,0.31,0.31,0,0.31,0.04,0.22,0.27,0.04,0.27,4e+06,2020
10,"Toby Alderweireld","be BEL","DF","Tottenham",30,1989,33,33,2957,32.9,2,2,4,2,0,0,7,0,0.7,0.7,1.3,2.1,11,96,10,0.06,0.06,0.12,0.06,0.12,0.02,0.04,0.06,0.02,0.06,1.1e+07,2020
11,"Trent Alexander-Arnold","eng ENG","DF","Liverpool",20,1998,38,35,3175,35.3,4,13,17,4,0,0,5,0,2.8,2.8,10.9,13.7,98,247,226,0.11,0.37,0.48,0.11,0.48,0.08,0.31,0.39,0.08,0.39,7.5e+07,2020
12,"Alisson","br BRA","GK","Liverpool",26,1992,29,29,2543,28.3,0,1,1,0,0,0,0,1,0,0,0.3,0.3,0,1,0,0,0.04,0.04,0,0.04,0,0.01,0.01,0,0.01,6e+07,2020
13,"Dele Alli","eng ENG","MF,FW","Tottenham",23,1996,25,21,1847,20.5,8,4,12,7,1,1,2,0,8.1,7.3,3.5,10.8,56,69,152,0.39,0.19,0.58,0.34,0.54,0.4,0.17,0.56,0.36,0.53,3e+07,2020
14,"Miguel Almirón","py PAR","MF,FW","Newcastle Utd",25,1994,36,35,3021,33.6,4,2,6,4,0,0,5,0,6.7,6.7,3,9.7,120,77,160,0.12,0.06,0.18,0.12,0.18,0.2,0.09,0.29,0.2,0.29,1.6e+07,2020
15,"Marcos Alonso","es ESP","DF","Chelsea",28,1990,18,15,1430,15.9,4,2,6,4,0,0,4,0,2.6,2.6,2.6,5.2,62,69,155,0.25,0.13,0.38,0.25,0.38,0.16,0.17,0.33,0.16,0.33,1.2e+07,2020
